Sample ID,Locality,Notes,Source,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3t,MnO,MgO,CaO,Na2O,K2O,P2O5,TOT/C,TOT/S,LOI,CO2,H2O,Sum,SrO,BaO,Rb,Cs,Be,Sr,Sr,Ba,Zr,Nb,Hf,Hf,Ta,Sc,V,Cr2O3,Cr,Co,Ni,Cu,Zn,Pb,Pb,Th,U,Ga,Y,La,Ce,Pr,Nd,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Mg#(oxide),(Na+K)/Al,NA2O+K2O,SiO2norm,TiO2norm,Al2O3norm,FeOtnorm,MnOnorm,MgOnorm,CaOnorm,Na2Onorm,K2Onorm,P2O5norm,La chond,Ce chond,Pr chond,Nd chond,Sm chond,Eu chond,Gd chond,Tb chond,Dy chond,Ho chond,Er chond,Tm chond,Yb chond,Lu chond,Th Spider,Nb Spider,Ta Spider,La Spider,Ce Spider,Nd Spider,P Spider,Zr Spider,Hf Spider,Eu Spider,Gd Spider,Ti Spider,Dy Spider,Y Spider,Yb Spider,Lu Spider,87Sr/86Sr,EpsilonSr,85Rb/86Sr,87Sr/86SrN,143Nd/144Nd,143Nd/144NdN,EpsilonNd,208Pb/204Pb (1),207Pb/204Pb (2),206Pb/204Pb (3),176Hf/177Hf
HBV43,Woodchop,Sunshine,Vazquez (1998),41.29,4.47,12.03,-,13.69,15.2113697,0.2,8.03,10.5,3.53,2.59,1.55,-,-,-0.3,-,-,97.58,-,-,39.5,0.59,-,1478,-,954,450,105.5,10.51,-,6.37,23.4,-,-,119,-,86,35,147,5.47,-,8.2,2.43,26,39.62,96.39,193.25,22.93,93.73,-,18.71,5.66,13.88,1.91,9.04,1.53,3.33,0.4,2.14,0.31,36.97,0.75,6.25,42.18,4.57,12.29,13.99,0.20,8.20,10.73,3.61,2.65,1.58,310.9,239.2,187.9508197,156.2,95.94871795,77.00680272,53.59073359,40.29535865,28.07453416,21.01648352,15.85714286,12.34567901,10.23923445,9.627329193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HBV47C,Woodchop,Cairn,Vazquez (1998),40.33,4.28,11.15,-,13.19,14.6558047,0.22,8.53,11.01,3.8,2.34,1.93,-,-,2.03,-,-,98.81,-,-,36.6,0.6,-,1889,-,992,635,138.01,14.24,-,8.74,21.4,-,-,126,-,105,22,164,8.69,-,12.21,4.03,26,47.53,137.19,267.79,29.78,121.47,-,24.25,6.82,17.16,2.28,11.16,1.85,4.08,0.49,2.68,0.37,39.27,0.81,6.34,41.67,4.42,11.52,13.63,0.23,8.81,11.38,3.93,2.42,1.99,442.5,331.4,244.0983607,202.5,124.3589744,92.78911565,66.25482625,48.10126582,34.65838509,25.41208791,19.42857143,15.12345679,12.82296651,11.49068323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HBVF-PB,Pyramid Butte,-,Nathalie 2015,41.95,3.64,11.38,-,-,13.25,0.19,8.98,10.75,3.66,2.22,1.38,0.03,0.03,1.8,0.12,1.68,99.41,-,-,40.4,0.6,3,1925,1929,1307,463.4,106,10.4,10.78,4.4,19,244,0.032,218.944,47.9,138,57,140,10,7.69,13.5,3.7,22.3,34.5,110.3,219,25.59,98.4,108.1,16.69,4.82,13.31,1.52,7.52,1.21,2.95,0.36,2.12,0.29,42.96,0.76,6.12,43.66,3.79,11.84,12.41,0.20,9.35,11.19,3.81,2.31,1.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HBVF-SBWD,Shonto Butte,west dyke,Nathalie 2015,38.35,4.41,11.8,-,-,14.69,0.21,6.48,11.29,5.13,1.86,1.92,0.65,0.05,3.1,2.6,0.5,99.41,-,-,10.6,0.6,5,1947.2,1931,1067,618.9,117,14,13.71,3.6,17,234,0.01,68.42,47.9,83,47,167,11,8.5,12.5,3.6,25.1,43.3,115,248.6,30.89,121.7,132.2,21.62,6.13,16.59,1.95,9.81,1.51,3.62,0.45,2.7,0.35,32.89,0.86,7.38,40.51,4.66,12.46,13.97,0.22,6.84,11.93,5.42,1.96,2.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HBVF-U1,U1 Butte,-,Nathalie 2015,39.59,4.23,10.85,-,-,14.2,0.2,8.72,11.19,3.79,1.31,1.86,0.02,<0.02,3.3,0.08,3.22,99.35,-,-,18.1,0.6,4,2025.2,2098,1039,671.1,130.2,14.7,14.58,2.8,19,249,0.026,177.892,48.2,108,61,165,16,9.41,14.8,3.2,22.6,41.4,132.8,278.4,33.26,128.3,141.9,22.05,6.22,17.06,1.97,9.62,1.53,3.63,0.44,2.59,0.33,40.56,0.68,5.40,41.89,4.48,11.48,13.52,0.21,9.23,11.84,4.01,1.39,1.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HBVF-U2,U2 Butte,-,Nathalie 2015,41.86,3.5,10.16,-,-,13,0.18,11.99,10.57,2.75,2.27,1.13,0.03,0.03,1.8,0.12,1.68,99.45,-,-,37.4,0.3,3,1333.5,1363,969,408.8,85,9.3,10.12,4.8,20,240,0.052,355.784,59.3,316,64,121,11,6.56,9.6,2.4,19.5,28.9,83.6,172.3,20.73,82.8,89.9,14.34,4.09,11.59,1.3,6.45,1.05,2.39,0.3,1.81,0.24,50.61,0.73,5.22,43.55,3.64,10.57,12.17,0.19,12.48,11.00,2.86,2.36,1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HDJH1,Highway Dike,dike?,Hooten (1999),41.71,4.138286894,11.71,-,11.08,12.3113204,0.24,8.15,12.82,3.63,2.03,1.49,-,-,3.09,-,-,100.0882869,-,-,42.6,0.67,-,2380,-,1159,462,114.35,11.36,-,7.1,20,274,-,209,-,135,54,148,7.14,-,12.67,4.54,22,40.64,111.45,206.75,24.07,97.62,-,19.61,5.79,14.39,1.92,9.73,1.57,3.59,0.44,2.36,0.34,42.38,0.71,5.84,43.00,4.27,12.07,11.42,0.25,8.40,13.22,3.74,2.09,1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HOS-10-14B,Hoskietso,dike,Nathalie PhD,39.65,3.69,11.45,-,-,11.44,0.21,5.27,12.38,4.16,0.73,2.86,0.06,0.03,6.8,0.24,6.56,98.64,-,-,9.1,20.9,4,6316.4,,1594,995.4,187,22.2,,9.5,13,182,0.007,47.894,28.3,<20,10,206,22,-,21.1,2.8,21.8,60.7,196.4,397.1,48.91,183.6,-,32.7,9.33,24.63,3,15.12,2.25,5.44,0.66,3.12,0.49,33.86,0.61,5.39,43.72,4.07,12.62,11.35,0.23,5.81,13.65,4.59,0.80,3.15,633.5,491.5,400.9016393,306.0,167.6923077,126.9387755,95.0965251,63.29113924,46.95652174,30.90659341,25.9047619,20.37037037,14.92822967,15.2173913,251.1904762,262.2720898,231.7073171,277.4011299,216.639389,134.4070278,137.1608857,88.875,71.84466019,55.53571429,41.39495798,17.28269156,20.5156038,13.34065934,6.5,6.621621622,-,-,-,-,-,-,-,-,-,-,-
HOS-10-15,Hoskietso,dike,Nathalie PhD,40.77,3.75,11.96,-,-,9.54,0.16,5.5,12.43,4.25,1.18,2.74,0.03,0.03,6.7,0.12,6.58,98.95,-,-,10.4,15.5,3,4051.2,,1439,979.4,191.7,20.6,,10.5,14,194,0.009,61.578,31.4,43,12,195,<1,-,19,6.6,21.8,63.7,192.7,397.5,46.65,184.1,-,31.27,8.95,23.35,3.12,14.01,2.3,5.45,0.77,3.97,0.56,39.05,0.65,5.95,44.64,4.11,13.10,9.40,0.18,6.02,13.61,4.65,1.29,3.00,621.6,492.0,382.3770492,306.8,160.3589744,121.7687075,90.15444015,65.82278481,43.50931677,31.59340659,25.95238095,23.7654321,18.99521531,17.39130435,226.1904762,268.8639551,256.097561,272.1751412,216.8576105,134.77306,131.4058835,87.44642857,66.66666667,53.27380952,39.24369748,17.56371094,19.00949796,14,8.270833333,7.567567568,-,-,-,-,-,-,-,-,-,-,-
HOS-10-22,Hoskietso,dike,Nathalie PhD,36.96,4.11,11.06,-,-,11.59,0.16,5.87,13.35,2.09,0.91,3.23,0.08,0.1,8.9,0.32,8.58,98.24,-,-,8.5,1.4,3,3703.4,,7517,1141.9,213,24.8,,12,15,176,0.006,41.052,30.4,23,46,227,49,-,23.8,4,18.6,74.8,237.9,477.5,56.3,212.8,-,37.37,10.53,27.5,3.71,17.62,2.8,6.72,0.83,4.52,0.63,36.01,0.39,3.40,41.92,4.66,12.54,11.83,0.18,6.66,15.14,2.37,1.03,3.66,767.4,591.0,461.4754098,354.7,191.6410256,143.2653061,106.1776062,78.27004219,54.72049689,38.46153846,32,25.61728395,21.62679426,19.56521739,283.3333333,298.7377279,292.6829268,336.0169492,260.5019094,155.7833089,154.9054758,101.9553571,80.25889968,62.67857143,46.21848739,19.24982719,23.90773406,16.43956044,9.416666667,8.513513514,-,-,-,-,-,-,-,-,-,-,-
HOS-10-26,Hoskietso,bomb,Nathalie PhD,39.38,3.53,11.74,-,-,11.96,0.17,4.91,11.18,4.65,0.97,2.76,0.03,0.12,7.8,0.12,7.68,99.03,-,-,10.2,13.9,8,3025.4,,1981,942,184.8,20.3,,11.2,12,169,0.005,34.21,40.2,34,25,186,37,-,20.6,4.3,25.7,61.9,194.9,399,47.3,185.1,-,30.89,8.81,23.23,3.1,14.34,2.24,5.46,0.67,3.77,0.54,31.33,0.68,6.24,43.73,3.92,13.04,11.95,0.19,5.45,12.41,5.16,1.08,3.06,628.7,493.8,387.704918,308.5,158.4102564,119.8639456,89.69111969,65.40084388,44.53416149,30.76923077,26,20.67901235,18.03827751,16.77018634,245.2380952,259.1865358,273.1707317,275.2824859,217.6759411,135.5051245,132.3650505,84.10714286,65.69579288,52.44047619,39.04201681,16.53330656,19.45725916,13.6043956,7.854166667,7.297297297,-,-,-,-,-,-,-,-,-,-,-
HOS-10-34,Hoskietso,dike,Nathalie PhD,41.26,3.77,11.78,-,-,11.63,0.18,5.43,11.61,5.25,0.92,2.84,0.03,0.07,4.4,0.12,4.28,99.1,-,-,12.9,18.5,5,3515.4,,724,931.4,184.2,22.3,,10.8,14,188,0.009,61.578,25.7,28,13,195,<1,-,20.5,5.7,23.9,59.2,191.2,394.7,46.86,178.8,-,30.73,8.96,23.63,3.13,13.88,2.37,5.5,0.69,3.74,0.55,34.16,0.75,6.60,44.13,4.03,12.60,11.19,0.19,5.81,12.42,5.61,0.98,3.04,616.8,488.5,384.0983607,298.0,157.5897436,121.9047619,91.23552124,66.03375527,43.10559006,32.55494505,26.19047619,21.2962963,17.89473684,17.08074534,244.047619,258.345021,263.4146341,270.0564972,215.33006,130.8931186,136.2017187,83.16071429,72.16828479,53.33333333,39.71428571,17.65738406,18.83310719,13.01098901,7.791666667,7.432432432,-,-,-,-,-,-,-,-,-,-,-
HOS-10-37,Hoskietso,dike,Nathalie PhD,42.15,4.5,12.35,-,-,8.35,0.14,6.51,12.94,2.57,1.25,1.65,0.1,0.06,6.8,0.4,6.4,99.3,-,-,18.5,4.7,3,1927.7,,1176,592.4,120.6,13.5,,7.5,21,286,0.037,253.154,27.3,46,50,205,<1,-,13,3.2,22.4,41.4,120.6,252,29.25,110.4,-,19.62,5.67,15.37,2.06,9.25,1.52,3.7,0.47,2.58,0.35,46.42,0.45,4.17,46.03,4.91,13.49,8.21,0.15,7.11,14.13,2.81,1.37,1.80,389.0,311.9,239.7540984,184.0,100.6153846,77.14285714,59.34362934,43.45991561,28.72670807,20.87912088,17.61904762,14.50617284,12.34449761,10.86956522,154.7619048,169.14446,182.9268293,170.3389831,137.4795417,80.81991215,79.13128022,52.89285714,43.68932039,33.75,25.83193277,21.07645313,12.55088195,9.098901099,5.375,4.72972973,0.703848918,-9.241755,-2.65517E-07,0.703819098,0.512764456,0.512771804,2.466761,38.5042,15.5505,18.9093,0.282813
HOS-10-38,Hoskietso,pw spatter,Nathalie PhD,41.46,3.57,11.49,-,-,12.01,0.17,5.16,11.75,4.94,0.59,2.65,0.17,0.06,5.4,0.68,4.72,99.17,-,-,14.3,29.6,1,2870.5,,899,969.7,174.2,21.9,,9.6,13,181,0.004,27.368,28.2,<20,16,166,<1,-,20.2,6.2,27.4,58,179.1,378.3,45.9,186.7,-,30.72,8.6,24.49,2.77,12.94,2.11,5.3,0.6,3.84,0.46,32.31,0.68,5.97,44.78,3.86,12.41,11.67,0.18,5.57,12.69,5.34,0.64,2.86,577.7,468.2,376.2295082,311.2,157.5384615,117.0068027,94.55598456,58.43881857,40.1863354,28.98351648,25.23809524,18.51851852,18.37320574,14.28571429,240.4761905,244.3197756,234.1463415,252.9661017,206.3829787,136.6764275,127.0896319,86.58035714,70.87378641,51.19047619,41.15966387,16.72065281,17.55766621,12.74725275,8,6.216216216,-,-,-,-,-,-,-,-,-,-,-
HOS-10-3B,Hoskietso,pizza,Nathalie PhD,41.25,3.55,11.33,-,-,11.02,0.18,5.18,11.84,4.49,0.9,2.84,0.03,0.13,6.5,0.12,6.38,99.12,-,-,11.4,16,3,3808.1,,554,856.1,175.6,19.8,,9.6,13,161,0.006,41.052,27.2,24,23,187,<1,-,19.3,3.9,20.6,59.2,188.4,390.9,45.54,179.6,-,30.01,8.59,23.02,3.07,14,2.25,5.34,0.66,3.73,0.5,34.31,0.68,5.89,45.09,3.88,12.39,10.84,0.20,5.66,12.94,4.91,0.98,3.10,607.7,483.8,373.2786885,299.3,153.8974359,116.8707483,88.88030888,64.76793249,43.47826087,30.90659341,25.42857143,20.37037037,17.84688995,15.52795031,229.7619048,246.28331,234.1463415,266.1016949,213.2569558,131.4787701,136.2017187,76.4375,64.0776699,51.13095238,38.68907563,16.62697969,18.99592944,13.01098901,7.770833333,6.756756757,-,-,-,-,-,-,-,-,-,-,-
HOS-10-4,Hoskietso,pizza,Nathalie PhD,40.43,3.6,11.7,-,-,11.38,0.2,5.5,12.09,4.69,0.76,2.93,0.03,0.03,5.9,0.12,5.78,99.13,-,-,12.4,20.9,3,3549.6,,476,882.3,177.7,20.9,,10.5,13,171,0.006,41.052,29.2,24,13,188,<1,-,19.7,3.6,22.2,61.4,205.6,406.8,48.42,191.4,-,31.82,9.01,23.72,3.16,14.99,2.37,5.27,0.67,3.84,0.52,34.94,0.66,5.91,43.88,3.91,12.70,11.12,0.22,5.97,13.12,5.09,0.82,3.18,663.2,503.5,396.8852459,319.0,163.1794872,122.585034,91.58301158,66.66666667,46.55279503,32.55494505,25.0952381,20.67901235,18.37320574,16.14906832,234.5238095,249.2286115,256.097561,290.3954802,221.9312602,140.1171303,140.5179703,78.77678571,67.63754045,53.63095238,39.86554622,16.8611625,20.33921303,13.49450549,8,7.027027027,-,-,-,-,-,-,-,-,-,-,-
HOS-10-41,Hoskietso,dike,Nathalie PhD,40.74,3.74,12.13,-,-,9.96,0.17,5.48,12.35,4.86,1,2.85,0.13,0.02,5.7,0.52,5.18,98.97,-,-,10.2,16.9,6,3902.3,,1177,1014.8,198.4,22,,10.7,13,189,0.007,47.894,25.1,25,9,192,<1,-,21.1,7.7,27.6,62.5,204.3,424.9,49.32,189.6,-,32.28,9.49,24.63,3.25,14.76,2.42,5.78,0.71,4.18,0.55,37.94,0.69,6.35,44.15,4.05,13.14,9.71,0.18,5.94,13.38,5.27,1.08,3.09,659.0,525.9,404.2622951,316.0,165.5384615,129.1156463,95.0965251,68.56540084,45.83850932,33.24175824,27.52380952,21.91358025,20,17.08074534,251.1904762,278.2608696,260.9756098,288.559322,231.8057829,138.7994143,136.6813022,90.60714286,71.197411,56.48809524,41.39495798,17.51687438,20.02713704,13.73626374,8.708333333,7.432432432,-,-,-,-,-,-,-,-,-,-,-
HOS-10-43,Hoskietso,dike,Nathalie PhD,40.7,4.05,12.57,-,-,11.48,0.18,6.07,12.16,4.33,1.7,2.66,0.02,0.02,3.4,0.08,3.32,99.28,-,-,20.5,5.1,4,1960.7,,715,842.4,176.9,20.6,,10.9,15,204,0.009,61.578,29.9,28,6,169,<1,-,20.8,5.5,26.7,58.3,199.5,421.5,49.02,193.6,-,32.35,9.27,23.94,3.23,14.25,2.24,5.38,0.67,3.36,0.5,37.01,0.69,6.36,42.95,4.27,13.27,10.90,0.19,6.41,12.83,4.57,1.79,2.81,643.5,521.7,401.8032787,322.7,165.8974359,126.122449,92.43243243,68.14345992,44.25465839,30.76923077,25.61904762,20.67901235,16.07655502,15.52795031,247.6190476,248.1065919,265.8536585,281.779661,229.9509002,141.727672,127.5692154,75.21428571,66.66666667,55.17857143,40.23529412,18.96880781,19.33514247,12.81318681,7,6.756756757,0.703812269,-9.761978,-4.06261E-06,0.703782448,0.512753358,0.512760707,2.250288,38.6523,15.5769,19.0449,0.282806
HOS-10-45,Hoskietso,pizza,Nathalie PhD,42.03,3.53,11.58,-,-,11.92,0.19,4.89,11.02,5.34,0.93,2.91,0.03,0.04,4.8,0.12,4.68,99.16,-,-,17,22.9,2,2866.7,,785,969.4,186.7,21.6,,10.6,13,165,0.006,41.052,31.3,22,7,247,<1,-,19.3,8.3,24.1,64.1,199.6,404.1,47.65,176,-,31.21,9.03,24.14,3.17,13.93,2.23,5.87,0.73,3.93,0.58,31.31,0.77,6.73,45.12,3.79,12.43,11.52,0.20,5.25,11.83,5.73,1.00,3.12,643.9,500.1,390.5737705,293.3,160.0512821,122.8571429,93.2046332,66.87763713,43.26086957,30.63186813,27.95238095,22.5308642,18.80382775,18.01242236,229.7619048,261.8513324,258.5365854,281.920904,220.4582651,128.8433382,139.5588033,86.55357143,69.90291262,53.75,40.57142857,16.53330656,18.9009498,14.08791209,8.1875,7.837837838,0.703834065,-9.452596,4.65924E-06,0.703804244,0.512748113,0.512755461,2.147973,38.5987,15.5791,18.9312,0.282816
HOS-10-52,Hoskietso,dike,Nathalie PhD,39.83,3.66,11.96,-,-,11.72,0.18,5.56,11.87,4.62,1.32,2.8,0.1,0.02,5.5,0.4,5.1,99.07,-,-,20.2,16.4,5,2930.3,,1373,989.3,189.3,20.9,,11,13,186,0.006,41.052,37,36,18,211,23,-,20.8,7.6,27.1,63.1,198.5,409.5,48.02,187.1,-,31.58,8.86,23.29,3.08,14.17,2.26,5.43,0.69,4.04,0.54,34.52,0.71,6.43,43.13,3.96,12.95,11.42,0.19,6.02,12.85,5.00,1.43,3.03,640.3,506.8,393.6065574,311.8,161.9487179,120.5442177,89.92277992,64.97890295,44.00621118,31.04395604,25.85714286,21.2962963,19.33014354,16.77018634,247.6190476,265.4978962,268.2926829,280.3672316,223.4042553,136.9692533,134.2833846,88.33035714,67.63754045,52.73809524,39.14285714,17.14218188,19.2265943,13.86813187,8.416666667,7.297297297,-,-,-,-,-,-,-,-,-,-,-
HOS-10-5A,Hoskietso,pizza,Nathalie PhD,40.97,3.54,11.76,-,-,11.48,0.19,5.36,11.95,4.29,0.99,2.87,0.05,0.04,5.6,0.2,5.4,99.02,-,-,14.9,14.6,9,3482.7,,1434,962.4,187.6,21.1,,10.5,13,178,0.006,41.052,26.7,22,12,203,18,-,19.9,4.8,24,61.7,198.5,409.6,47.43,185.1,-,31.77,8.79,22.99,3.11,13.93,2.26,5.6,0.73,3.77,0.56,34.16,0.64,5.72,44.41,3.84,12.75,11.20,0.21,5.81,12.95,4.65,1.07,3.11,640.3,506.9,388.7704918,308.5,162.9230769,119.5918367,88.76447876,65.61181435,43.26086957,31.04395604,26.66666667,22.5308642,18.03827751,17.39130435,236.9047619,263.1136045,256.097561,280.3672316,223.4588107,135.5051245,137.6404692,85.92857143,68.28478964,52.32142857,38.63865546,16.58014313,18.9009498,13.56043956,7.854166667,7.567567568,-,-,-,-,-,-,-,-,-,-,-
HOS-10-6,Hoskietso,pizza,Nathalie PhD,39.17,3.49,11.26,-,-,10.93,0.2,5.19,13.59,3.71,0.93,2.86,0.37,0.02,7.8,1.48,6.32,99.11,-,-,12.3,13.6,2,3436,,836,942.1,189.3,21.6,,10.3,13,168,0.006,41.052,26,<20,11,189,<1,-,19.7,3.9,20.3,62.3,192,391.6,46.26,183.6,-,30.87,8.75,22.93,3.05,13.66,2.26,5.42,0.71,3.58,0.53,34.54,0.59,5.14,43.41,3.87,12.48,10.90,0.22,5.75,15.06,4.11,1.03,3.17,619.4,484.7,379.1803279,306.0,158.3076923,119.047619,88.53281853,64.34599156,42.42236025,31.04395604,25.80952381,21.91358025,17.1291866,16.45962733,234.5238095,265.4978962,251.2195122,271.1864407,213.6388434,134.4070278,137.1608857,84.11607143,69.90291262,52.08333333,38.53781513,16.34596031,18.53459973,13.69230769,7.458333333,7.162162162,-,-,-,-,-,-,-,-,-,-,-
HOS-10-8,Hoskietso,pizza,Nathalie PhD,40.28,3.71,11.55,-,-,10.31,0.2,5.38,12.33,4.28,0.79,2.99,0.02,0.03,7.2,0.08,7.12,99.05,-,-,14,22.5,3,3892.4,,616,954,191.8,21.6,,11.6,14,173,0.006,41.052,26.7,23,8,181,21,-,21.3,4.4,19.4,63.8,199.9,417.8,48.9,189,-,32.6,9.31,24.49,3.22,14.2,2.4,5.6,0.72,3.94,0.55,36.70,0.63,5.58,44.37,4.09,12.72,10.22,0.22,5.93,13.58,4.71,0.87,3.29,644.8,517.1,400.8196721,315.0,167.1794872,126.6666667,94.55598456,67.93248945,44.09937888,32.96703297,26.66666667,22.22222222,18.85167464,17.08074534,253.5714286,269.0042076,282.9268293,282.3446328,227.9323513,138.3601757,143.3954714,85.17857143,69.90291262,55.41666667,41.15966387,17.37636469,19.26729986,14.02197802,8.208333333,7.432432432,-,-,-,-,-,-,-,-,-,-,-
HOS-10-9A,Hoskietso,dike,Nathalie PhD,42.13,3.89,12,-,-,9.17,0.15,5.67,12.23,4.99,0.61,2.73,0.04,0.05,5.6,0.16,5.44,99.14,-,-,10.6,22.7,<1,3353.5,,494,878.5,181,19.3,,9.3,14,197,0.008,54.736,24.5,<20,6,157,1,-,20.2,5.3,22.7,54.8,185.8,375.9,46.09,176.6,-,30.55,8.85,24.14,2.84,13.57,2.25,4.7,0.58,3.23,0.48,40.72,0.66,6.04,45.47,4.20,12.95,8.91,0.16,6.12,13.20,5.39,0.66,2.95,599.4,465.2,377.7868852,294.3,156.6666667,120.4081633,93.2046332,59.91561181,42.14285714,30.90659341,22.38095238,17.90123457,15.45454545,14.9068323,240.4761905,253.8569425,226.8292683,262.4293785,205.0736498,129.2825769,130.9263,78.4375,62.45954693,52.67857143,40.57142857,18.21942281,18.41248304,12.04395604,6.729166667,6.486486486,-,-,-,-,-,-,-,-,-,-,-
HOS-10-9B,Hoskietso,dike,Nathalie PhD,40.11,3.85,11.85,-,-,9.03,0.19,5.59,13.52,4.05,0.67,2.8,0.28,<0.02,7.4,1.12,6.28,99.08,-,-,9.4,18.6,6,2872.9,,1278,924.6,177.4,22.6,,8.2,15,186,0.008,54.736,33.8,44,12,236,<1,-,19.9,4.3,24.8,63.3,192.9,385.6,46.51,185.5,-,31.5,8.71,24.96,2.96,14.92,2.29,5.55,0.74,3.99,0.54,40.75,0.57,5.20,44.20,4.24,13.06,8.95,0.21,6.16,14.90,4.46,0.74,3.09,622.3,477.2,381.2295082,309.2,161.5384615,118.5034014,96.37065637,62.44725738,46.33540373,31.45604396,26.42857143,22.83950617,19.09090909,16.77018634,236.9047619,248.8078541,200,272.4576271,210.365521,135.7979502,134.2833846,82.55357143,73.13915858,51.8452381,41.94957983,18.03207656,20.24423338,13.91208791,8.3125,7.297297297,-,-,-,-,-,-,-,-,-,-,-
KH12-HB-2,Standing Rocks East,dyke NW side,2012 Workshop,41.77,2.61,10.53,-,-,12.4,0.2,12.64,12.86,3.14,1.13,0.93,<0.02,<0.02,1.2,0,1.2,99.55,-,-,11.8,0.6,<1,1198.6,1315,1197,208.9,74.4,5,5.52,3.8,23,245,0.074,506.308,54.2,282,69,111,11,7.43,10.4,2.8,16.6,25.5,79,165.6,18.28,75.1,74.1,11.8,3.65,9.37,1.3,6.05,0.94,2.43,0.3,1.82,0.24,53.11,0.59,4.40,43.08,2.69,10.86,11.51,0.21,13.03,13.26,3.24,1.17,0.96,254.8,205.0,149.8360656,125.2,60.51282051,49.65986395,36.17760618,27.42616034,18.78881988,12.91208791,11.57142857,9.259259259,8.708133971,7.453416149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.703718,-11.100923,-,0.703718,-,-,-,38.2316,15.5145,18.8185,0.282928
KH12-HB-4,Round Butte,SW side base,2012 Workshop,41.33,3.86,10.02,-,-,13,0.17,10.96,11.11,3.73,0.51,1.12,0.06,0.07,3.6,0.24,3.36,99.51,-,-,5.9,4.4,2,1412.4,1449,895,416.7,80.5,9.3,10.81,4.8,22,281,0.049,335.258,58.6,267,66,117,7,5.49,8.4,2.4,19.6,27.8,81.5,177.8,21.58,94,90.8,15.51,4.23,11.78,1.42,7.9,0.95,2.41,0.33,2.12,0.23,48.37,0.60,4.49,43.73,4.08,10.60,12.38,0.18,11.60,11.76,3.95,0.54,1.19,262.9,220.0,176.8852459,156.7,79.53846154,57.55102041,45.48262548,29.95780591,24.53416149,13.04945055,11.47619048,10.18518519,10.14354067,7.142857143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.703647,-12.108872,-,0.703647,0.512763,0.512770,2.435637,38.7539,15.5756,19.0974,0.282826
